PassengerId,Survived
892,0.0
893,0.0
894,0.8
895,0.0
896,0.0
897,0.0
898,0.0
899,1.0
900,0.0
901,0.0
902,0.0
903,0.8
904,0.8
905,0.8
906,0.8
907,0.8
908,0.8
909,0.0
910,0.0
911,0.0
912,0.8
913,0.0
914,0.8
915,0.8
916,0.4
917,0.0
918,0.8
919,0.0
920,0.8
921,0.0
922,0.8
923,0.8
924,0.4
925,0.4
926,0.8
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.8
934,0.0
935,0.8
936,0.8
937,0.0
938,0.8
939,0.0
940,0.8
941,0.4
942,0.8
943,0.8
944,1.0
945,1.0
946,0.8
947,0.0
948,0.0
949,0.0
950,0.0
951,0.8
952,0.0
953,0.8
954,0.0
955,0.0
956,1.0
957,0.8
958,0.0
959,0.8
960,0.8
961,0.6
962,0.0
963,0.0
964,0.0
965,0.8
966,0.8
967,0.8
968,0.0
969,0.8
970,0.8
971,0.0
972,0.0
973,0.8
974,0.8
975,0.0
976,0.8
977,0.0
978,0.0
979,0.0
980,0.0
981,1.0
982,0.0
983,0.0
984,1.0
985,0.0
986,0.8
987,0.0
988,0.8
989,0.0
990,0.0
991,0.0
992,0.8
993,0.8
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.8
1002,0.8
1003,0.0
1004,0.8
1005,0.0
1006,0.8
1007,0.0
1008,0.0
1009,0.0
1010,0.8
1011,0.8
1012,0.8
1013,0.0
1014,0.8
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.8
1021,0.0
1022,0.0
1023,0.8
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.8
1030,0.0
1031,0.2
1032,0.4
1033,0.8
1034,0.4
1035,0.8
1036,0.8
1037,0.0
1038,0.8
1039,0.0
1040,0.8
1041,1.0
1042,0.8
1043,0.0
1044,0.0
1045,0.4
1046,0.4
1047,0.0
1048,0.8
1049,0.0
1050,0.8
1051,0.4
1052,0.0
1053,0.0
1054,0.8
1055,0.0
1056,0.8
1057,0.0
1058,0.8
1059,0.4
1060,0.8
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.2
1067,1.0
1068,0.8
1069,0.8
1070,0.8
1071,1.0
1072,0.8
1073,0.8
1074,0.8
1075,0.0
1076,0.8
1077,0.8
1078,1.0
1079,0.0
1080,0.4
1081,0.8
1082,0.8
1083,0.8
1084,0.0
1085,0.8
1086,1.0
1087,0.0
1088,1.0
1089,0.0
1090,0.8
1091,0.0
1092,0.0
1093,0.4
1094,0.8
1095,1.0
1096,0.8
1097,0.8
1098,0.0
1099,0.8
1100,0.8
1101,0.0
1102,0.0
1103,0.0
1104,0.8
1105,0.8
1106,0.4
1107,0.8
1108,0.0
1109,0.8
1110,0.8
1111,0.0
1112,0.8
1113,0.0
1114,0.8
1115,0.0
1116,0.8
1117,0.4
1118,0.0
1119,0.0
1120,0.0
1121,0.8
1122,0.8
1123,0.8
1124,0.0
1125,0.0
1126,0.8
1127,0.0
1128,0.8
1129,0.0
1130,1.0
1131,0.8
1132,0.8
1133,1.0
1134,0.8
1135,0.0
1136,0.4
1137,0.8
1138,0.8
1139,1.0
1140,0.8
1141,0.0
1142,1.0
1143,0.0
1144,0.8
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.0
1150,0.8
1151,0.0
1152,0.0
1153,0.0
1154,1.0
1155,0.0
1156,0.8
1157,0.0
1158,0.8
1159,0.0
1160,0.0
1161,0.0
1162,0.8
1163,0.0
1164,0.8
1165,0.0
1166,0.0
1167,0.8
1168,0.8
1169,0.8
1170,0.8
1171,0.8
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.8
1180,0.0
1181,0.0
1182,0.8
1183,0.0
1184,0.0
1185,0.8
1186,0.0
1187,0.0
1188,1.0
1189,0.0
1190,0.8
1191,0.0
1192,0.0
1193,0.8
1194,1.0
1195,0.0
1196,0.0
1197,0.8
1198,1.0
1199,0.0
1200,0.8
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.8
1207,0.0
1208,0.8
1209,0.8
1210,0.0
1211,0.8
1212,0.0
1213,0.0
1214,0.8
1215,0.8
1216,0.8
1217,0.0
1218,1.0
1219,0.8
1220,0.8
1221,0.8
1222,1.0
1223,0.8
1224,0.0
1225,0.0
1226,0.0
1227,0.8
1228,0.8
1229,0.4
1230,0.8
1231,0.0
1232,0.8
1233,0.0
1234,0.2
1235,0.8
1236,0.0
1237,0.0
1238,0.8
1239,0.0
1240,0.8
1241,0.8
1242,0.8
1243,0.8
1244,0.8
1245,1.0
1246,0.4
1247,0.8
1248,0.8
1249,0.0
1250,0.0
1251,0.0
1252,0.4
1253,1.0
1254,0.8
1255,0.0
1256,0.8
1257,0.2
1258,0.0
1259,0.0
1260,0.8
1261,0.8
1262,0.8
1263,0.8
1264,0.8
1265,0.8
1266,0.8
1267,0.8
1268,0.0
1269,0.8
1270,0.8
1271,0.4
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.8
1277,1.0
1278,0.0
1279,0.8
1280,0.0
1281,0.0
1282,0.8
1283,0.8
1284,0.4
1285,0.8
1286,0.0
1287,0.8
1288,0.0
1289,0.8
1290,0.0
1291,0.0
1292,0.8
1293,0.8
1294,0.8
1295,0.8
1296,0.8
1297,0.8
1298,0.8
1299,0.8
1300,0.0
1301,0.0
1302,0.0
1303,0.8
1304,0.0
1305,0.0
1306,0.8
1307,0.0
1308,0.0
1309,0.0
